0,30,10ms
1,23,10ms
2,23,10ms
3,22,10ms
4,20,10ms
5,21,10ms
6,23,10ms
7,29,10ms
8,21,10ms
9,22,10ms
10,32,10ms
11,36,10ms
12,24,10ms
13,21,10ms
14,20,10ms
15,20,10ms
16,18,10ms
17,19,10ms
18,18,10ms
19,21,10ms
20,21,10ms
21,19,10ms
22,21,10ms
23,19,10ms
24,19,10ms
25,25,10ms
26,24,10ms
27,21,10ms
28,26,10ms
29,30,10ms
30,19,10ms
31,18,10ms
32,18,10ms
33,21,10ms
34,21,10ms
35,18,10ms
36,18,10ms
37,21,10ms
38,24,10ms
39,19,10ms
40,16,10ms
41,17,10ms
42,22,10ms
43,21,10ms
44,16,10ms
45,20,10ms
46,24,10ms
47,41,10ms
48,24,10ms
49,24,10ms
50,20,10ms
51,22,10ms
52,17,10ms
53,19,10ms
54,17,10ms
55,26,10ms
56,22,10ms
57,19,10ms
58,20,10ms
59,19,10ms
60,18,10ms
61,20,10ms
62,18,10ms
63,20,10ms
64,23,10ms
65,34,10ms
66,22,10ms
67,30,10ms
68,22,10ms
69,18,10ms
70,18,10ms
71,17,10ms
72,17,10ms
73,21,10ms
74,21,10ms
75,20,10ms
76,18,10ms
77,16,10ms
78,18,10ms
79,16,10ms
80,18,10ms
81,24,10ms
82,25,10ms
83,23,10ms
84,21,10ms
85,18,10ms
86,18,10ms
87,19,10ms
88,19,10ms
89,17,10ms
90,16,10ms
91,23,10ms
92,20,10ms
93,19,10ms
94,17,10ms
95,28,10ms
96,19,10ms
97,17,10ms
98,20,10ms
99,24,10ms
100,25,10ms
101,20,10ms
102,16,10ms
103,18,10ms
104,18,10ms
105,20,10ms
106,22,10ms
107,23,10ms
108,18,10ms
109,23,10ms
110,22,10ms
111,17,10ms
112,16,10ms
113,16,10ms
114,22,10ms
115,19,10ms
116,21,10ms
117,18,10ms
118,20,10ms
119,18,10ms
120,18,10ms
121,15,10ms
122,16,10ms
123,18,10ms
124,18,10ms
125,16,10ms
126,19,10ms
127,23,10ms
128,34,10ms
129,17,10ms
130,16,10ms
131,16,10ms
132,16,10ms
133,19,10ms
134,21,10ms
135,22,10ms
136,25,10ms
137,18,10ms
138,15,10ms
139,16,10ms
140,19,10ms
141,17,10ms
142,21,10ms
143,19,10ms
144,19,10ms
145,33,10ms
146,18,10ms
147,17,10ms
148,16,10ms
149,18,10ms
150,18,10ms
151,20,10ms
152,20,10ms
153,20,10ms
154,20,10ms
155,19,10ms
156,16,10ms
157,18,10ms
158,15,10ms
159,16,10ms
160,17,10ms
161,16,10ms
162,18,10ms
163,22,10ms
164,21,10ms
165,18,10ms
166,18,10ms
167,18,10ms
168,17,10ms
169,19,10ms
170,20,10ms
171,19,10ms
172,17,10ms
173,17,10ms
174,15,10ms
175,17,10ms
176,15,10ms
177,18,10ms
178,18,10ms
179,18,10ms
180,18,10ms
181,18,10ms
182,22,10ms
183,20,10ms
184,17,10ms
185,17,10ms
186,16,10ms
187,16,10ms
188,16,10ms
189,16,10ms
190,18,10ms
191,17,10ms
192,16,10ms
193,16,10ms
194,15,10ms
195,15,10ms
196,15,10ms
197,18,10ms
198,21,10ms
199,22,10ms
200,21,10ms
201,21,10ms
202,16,10ms
203,15,10ms
204,18,10ms
205,20,10ms
206,20,10ms
207,22,10ms
208,24,10ms
209,16,10ms
210,16,10ms
211,16,10ms
212,15,10ms
213,16,10ms
214,17,10ms
215,16,10ms
216,17,10ms
217,18,10ms
218,34,10ms
219,18,10ms
220,17,10ms
221,15,10ms
222,16,10ms
223,15,10ms
224,16,10ms
225,16,10ms
226,20,10ms
227,19,10ms
228,15,10ms
229,16,10ms
230,16,10ms
231,18,10ms
232,18,10ms
233,20,10ms
234,22,10ms
235,23,10ms
236,18,10ms
237,26,10ms
238,18,10ms
239,16,10ms
240,16,10ms
241,18,10ms
242,20,10ms
243,22,10ms
244,24,10ms
245,20,10ms
246,17,10ms
247,18,10ms
248,16,10ms
249,17,10ms
250,19,10ms
